c	norm
0.14	0.00137786
0.15	0.00144026
0.16	0.0014987
0.17	0.00155334
0.18	0.0016043
0.19	0.00165171
0.2	0.00169571
0.21	7.76505e-05
0.22	8.70953e-05
0.23	9.70212e-05
0.24	0.000107399
0.25	0.000118191
0.26	0.00012936
0.27	0.000140866
0.28	0.000152662
0.29	0.000164705
0.3	0.000176947
0.31	0.000189338
0.32	0.00020183
0.33	0.000214371
0.34	0.000226911
0.35	0.000239395
0.36	0.00025178
0.37	0.000264007
0.38	0.00027603
0.39	0.000287804
0.4	0.000299283
0.41	0.00199226
0.42	0.00198271
0.43	0.00197144
0.44	0.00195856
0.45	0.00148366
0.46	0.00144657
0.47	0.00140822
0.48	0.00136876
0.49	0.00132833
0.5	0.00128708
0.51	0.00124515
0.52	0.00120269
0.53	0.00115984
0.54	0.00111675
0.55	0.00107356
0.56	0.00103043
0.57	0.000987469
0.58	0.00094484
0.59	0.001175
0.6	0.00112808
0.61	0.000995956
0.62	0.000953751
0.63	0.000911608
0.64	0.000907766
0.65	0.000865061
0.66	0.000822578
0.67	0.000947758
0.68	0.000900968
0.69	0.000854237
0.7	0.000807687
0.71	0.000761453
0.72	0.000715692
0.73	0.000774544
0.74	0.000742459
0.75	0.00069461
0.76	0.000647291
0.77	0.000669386
0.78	0.000607307
0.79	0.000560905
0.8	0.000574473
0.81	0.00053268
0.82	0.000486352
0.83	0.000479046
0.84	0.000433748
0.85	0.000426778
0.86	0.000375168
0.87	0.000333627
0.88	0.000320345
0.89	0.000281002
0.9	0.000260409
0.91	0.000239313
0.92	0.000208039
0.93	0.000183599
0.94	0.000152001
0.95	0.000132583
0.96	0.000103011
0.97	7.83472e-05
0.98	5.84463e-05
0.99	3.52226e-05
1	1.68487e-05
1.01	6.30382e-06
1.02	2.56656e-05
1.03	4.37673e-05
1.04	6.67849e-05
1.05	8.42459e-05
1.06	0.00010072
1.07	0.000114288
1.08	0.000130649
1.09	0.000141361
1.1	0.000176367
1.11	0.000190157
1.12	0.000203991
1.13	0.000216779
1.14	0.000228067
1.15	0.00023538
1.16	0.000244484
1.17	0.000252738
1.18	0.000269585
1.19	0.00027719
1.2	0.000276336
1.21	0.000283455
1.22	0.000288255
1.23	0.000292434
1.24	0.000296017
1.25	0.00036787
1.26	0.000373741
1.27	0.000379047
1.28	0.000383827
1.29	0.000388122
1.3	0.000391923
1.31	0.000395281
1.32	0.000398237
1.33	0.000400784
1.34	0.000402961
1.35	0.0004048
1.36	0.000406303
1.37	0.000407503
1.38	0.000408413
1.39	0.000409058
1.4	0.000409442
1.41	0.000409601
1.42	0.000409526
1.43	0.000409246
1.44	0.000408772
1.45	0.000408117
1.46	0.000407282
1.47	0.000406293
1.48	0.000405159
1.49	0.000403878
1.5	0.000402471
1.51	0.000400946
1.52	0.000399301
1.53	0.000397548
1.54	0.0003957
1.55	0.000393756
1.56	0.000391728
1.57	0.000389627
1.58	0.000387443
1.59	0.000385198
1.6	0.000382887
1.61	0.000380513
1.62	0.000378095
1.63	0.000375622
1.64	0.000373109
1.65	0.000370556
1.66	0.000367959
1.67	0.000365334
1.68	0.000362679
1.69	0.000359991
1.7	0.000357282
1.71	0.000354552
1.72	0.000351803
1.73	0.00034904
1.74	0.000346256
1.75	0.000343471
1.76	0.000340674
1.77	0.000337864
1.78	0.000335054
